ticker,date,open,high,low,close
EURSEK,1971-01-04,2.7651,2.7651,2.7651,2.7651
EURSEK,1971-01-05,2.762,2.762,2.762,2.762
EURSEK,1971-01-06,2.7638,2.7638,2.7638,2.7638
EURSEK,1971-01-07,2.7649,2.7649,2.7649,2.7649
EURSEK,1971-01-08,2.7618,2.7618,2.7618,2.7618
EURSEK,1971-01-11,2.7639,2.7639,2.7639,2.7639
EURSEK,1971-01-12,2.7668,2.7668,2.7668,2.7668
EURSEK,1971-01-13,2.7657,2.7657,2.7657,2.7657
EURSEK,1971-01-14,2.7641,2.7641,2.7641,2.7641
EURSEK,1971-01-15,2.7707,2.7707,2.7707,2.7707
EURSEK,1971-01-18,2.7695,2.7695,2.7695,2.7695
EURSEK,1971-01-19,2.7707,2.7707,2.7707,2.7707
EURSEK,1971-01-20,2.7694,2.7694,2.7694,2.7694
EURSEK,1971-01-21,2.7742,2.7742,2.7742,2.7742
EURSEK,1971-01-22,2.7713,2.7713,2.7713,2.7713
EURSEK,1971-01-25,2.7758,2.7758,2.7758,2.7758
EURSEK,1971-01-26,2.7745,2.7745,2.7745,2.7745
EURSEK,1971-01-27,2.773,2.773,2.773,2.773
EURSEK,1971-01-28,2.7749,2.7749,2.7749,2.7749
EURSEK,1971-01-29,2.7772,2.7772,2.7772,2.7772
EURSEK,1971-02-01,2.7807,2.7807,2.7807,2.7807
EURSEK,1971-02-02,2.7781,2.7781,2.7781,2.7781
EURSEK,1971-02-03,2.7789,2.7789,2.7789,2.7789
EURSEK,1971-02-04,2.7771,2.7771,2.7771,2.7771
EURSEK,1971-02-05,2.7822,2.7822,2.7822,2.7822
EURSEK,1971-02-08,2.7834,2.7834,2.7834,2.7834
EURSEK,1971-02-09,2.7842,2.7842,2.7842,2.7842
EURSEK,1971-02-10,2.784,2.784,2.784,2.784
EURSEK,1971-02-11,2.7777,2.7777,2.7777,2.7777
EURSEK,1971-02-16,2.7787,2.7787,2.7787,2.7787
EURSEK,1971-02-17,2.7799,2.7799,2.7799,2.7799
EURSEK,1971-02-18,2.7764,2.7764,2.7764,2.7764
EURSEK,1971-02-19,2.7792,2.7792,2.7792,2.7792
EURSEK,1971-02-22,2.7731,2.7731,2.7731,2.7731
EURSEK,1971-02-23,2.7709,2.7709,2.7709,2.7709
EURSEK,1971-02-24,2.7711,2.7711,2.7711,2.7711
EURSEK,1971-02-25,2.7736,2.7736,2.7736,2.7736
EURSEK,1971-02-26,2.7705,2.7705,2.7705,2.7705
EURSEK,1971-03-01,2.7692,2.7692,2.7692,2.7692
EURSEK,1971-03-02,2.7742,2.7742,2.7742,2.7742
EURSEK,1971-03-03,2.7708,2.7708,2.7708,2.7708
EURSEK,1971-03-04,2.7721,2.7721,2.7721,2.7721
EURSEK,1971-03-05,2.7731,2.7731,2.7731,2.7731
EURSEK,1971-03-08,2.7748,2.7748,2.7748,2.7748
EURSEK,1971-03-09,2.7721,2.7721,2.7721,2.7721
EURSEK,1971-03-10,2.7708,2.7708,2.7708,2.7708
EURSEK,1971-03-11,2.7742,2.7742,2.7742,2.7742
EURSEK,1971-03-12,2.7691,2.7691,2.7691,2.7691
EURSEK,1971-03-15,2.7699,2.7699,2.7699,2.7699
EURSEK,1971-03-16,2.773,2.773,2.773,2.773
EURSEK,1971-03-17,2.7712,2.7712,2.7712,2.7712
EURSEK,1971-03-18,2.7731,2.7731,2.7731,2.7731
EURSEK,1971-03-19,2.7711,2.7711,2.7711,2.7711
EURSEK,1971-03-22,2.7718,2.7718,2.7718,2.7718
EURSEK,1971-03-23,2.7716,2.7716,2.7716,2.7716
EURSEK,1971-03-24,2.7714,2.7714,2.7714,2.7714
EURSEK,1971-03-25,2.7742,2.7742,2.7742,2.7742
EURSEK,1971-03-26,2.7756,2.7756,2.7756,2.7756
EURSEK,1971-03-29,2.7755,2.7755,2.7755,2.7755
EURSEK,1971-03-30,2.7729,2.7729,2.7729,2.7729
EURSEK,1971-03-31,2.7731,2.7731,2.7731,2.7731
EURSEK,1971-04-01,2.7771,2.7771,2.7771,2.7771
EURSEK,1971-04-02,2.7764,2.7764,2.7764,2.7764
EURSEK,1971-04-05,2.7748,2.7748,2.7748,2.7748
EURSEK,1971-04-06,2.7729,2.7729,2.7729,2.7729
EURSEK,1971-04-07,2.7732,2.7732,2.7732,2.7732
EURSEK,1971-04-08,2.7742,2.7742,2.7742,2.7742
EURSEK,1971-04-09,2.7734,2.7734,2.7734,2.7734
EURSEK,1971-04-12,2.7727,2.7727,2.7727,2.7727
EURSEK,1971-04-13,2.7728,2.7728,2.7728,2.7728
EURSEK,1971-04-14,2.7695,2.7695,2.7695,2.7695
